"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,     "rms[k]"     ,     "rms[w]"     ,  "Avg_Massflow"  ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)"
          40,      -6.523256255,      -5.516696535,      -5.226471436,      -4.724787419,      -6.626590993,      -2.720152412,     0.03884549988,        0.04363866425,       -0.004793164371
          41,      -6.513233734,      -5.508639665,      -5.216977723,      -4.440708842,      -6.614388394,      -2.685121921,     0.03864915921,         0.0436197501,       -0.004970590888
          42,      -6.504200061,      -5.500651287,      -5.207840175,      -4.364342009,       -6.59920678,      -2.694003321,     0.03850611197,        0.04359351177,       -0.005087399797
          43,      -6.497623641,      -5.493967137,      -5.201226105,      -4.494199715,      -6.578181729,      -2.700324222,      0.0384000702,        0.04355827162,       -0.005158201421
          44,      -6.496107086,      -5.490375327,      -5.199775556,      -4.723938258,      -6.552234385,      -2.687113751,     0.03831699277,        0.04351305843,       -0.005196065661
          45,      -6.499635739,      -5.489209443,      -5.203558417,      -4.869628645,      -6.526773294,      -2.668246338,     0.03824659772,        0.04345862431,       -0.005212026587
          46,      -6.507176436,      -5.489221184,      -5.211586173,      -4.694916945,      -6.504413329,      -2.651626378,     0.03818252169,        0.04339799444,       -0.005215472753
          47,      -6.516989631,      -5.489697885,      -5.222102517,      -4.554246036,      -6.485607282,      -2.634897799,     0.03812069217,        0.04333615444,       -0.005215462271
          48,      -6.525955292,      -5.490342331,      -5.231863519,      -4.597219905,      -6.469898273,      -2.612348516,     0.03805713463,         0.0432803368,       -0.005223202171
          49,      -6.531676193,      -5.491313858,      -5.238299779,      -4.805685313,      -6.456592856,      -2.607005474,     0.03798438296,        0.04324035317,        -0.00525597021
          50,      -6.533839186,      -5.492962472,      -5.240987966,      -4.863136016,      -6.444999795,      -2.602320229,     0.03788318566,        0.04322628706,       -0.005343101393
          51,      -6.533473961,      -5.495347696,      -5.240883393,       -4.86219963,      -6.434630312,      -2.594129431,     0.03770935001,        0.04324450924,       -0.005535159233
          52,      -6.532275238,      -5.498210119,      -5.239655447,      -4.684932776,      -6.425311649,      -2.583274703,     0.03737690421,        0.04329467612,       -0.005917771904
          53,      -6.531573391,      -5.501135316,      -5.238668731,      -4.641114624,      -6.417211238,      -2.584264358,     0.03673876358,        0.04336948449,       -0.006630720915
          54,      -6.532547819,      -5.503673975,      -5.237529228,      -4.765603391,      -6.410591731,      -2.581507493,     0.03557211104,        0.04345649211,       -0.007884381068
          55,       -6.53790615,      -5.505401841,      -5.240941115,      -4.854476098,      -6.405670344,      -2.577900903,     0.03357289317,        0.04354068914,       -0.009967795972
          56,      -6.553061071,      -5.505986411,      -5.255585608,      -4.946150352,      -6.402343706,      -2.573903505,     0.03039896168,        0.04360857032,        -0.01320960864
          57,      -6.586797052,      -5.506598274,      -5.292048447,      -4.838920815,      -6.400162321,      -2.569941252,     0.02579347907,        0.04365224655,        -0.01785876748
          58,      -6.652799992,      -5.513466937,      -5.368122871,      -4.708063326,      -6.398141368,      -2.563506447,     0.01978264396,         0.0436711169,        -0.02388847295
          59,      -6.768765001,       -5.53981076,      -5.513346113,       -4.72374829,      -6.395463285,       -2.55022793,     0.01281661826,        0.04367071773,        -0.03085409947
          60,      -6.940084778,       -5.59783466,      -5.772026507,      -4.833640565,      -6.396562765,      -2.538075499,    0.005667144929,        0.04366007231,        -0.03799292738
          61,      -7.066055843,      -5.674805801,      -5.946959357,      -4.830209814,       -6.41271607,      -2.511220261,  -0.0005867788747,        0.04364876982,        -0.04423554869
          62,      -7.010197802,      -5.720495999,      -5.699418744,      -4.932236447,      -6.441438637,      -2.558770646,   -0.004670714342,        0.04364283688,        -0.04831355122
          63,      -6.944126833,      -5.755496303,      -5.578368697,      -4.632756954,      -6.468488873,      -2.583215405,    -0.00731084783,        0.04364059895,        -0.05095144678
          64,      -6.909704681,      -5.782000975,      -5.524090613,      -4.638521849,      -6.491624818,        -2.5913999,   -0.009056992252,        0.04363686211,        -0.05269385437
          65,      -6.887336696,      -5.796730389,      -5.492594635,      -4.826307751,      -6.511887271,      -2.584911999,    -0.01026781633,         0.0436267246,        -0.05389454093
          66,      -6.873689089,      -5.804787002,      -5.474776412,      -4.972795566,      -6.531026122,      -2.572883817,    -0.01116307317,        0.04360854194,        -0.05477161511
          67,      -6.867004197,       -5.81088997,      -5.466100361,      -5.023437504,      -6.550047463,      -2.560304272,    -0.01185515812,        0.04358505813,        -0.05544021624
          68,      -6.863340825,      -5.815297825,      -5.461113699,      -5.028169547,      -6.569666719,      -2.549716394,    -0.01239258762,        0.04356274572,        -0.05595533334
          69,      -6.862049697,      -5.819337682,      -5.459365021,      -5.016775448,      -6.590288636,      -2.540924592,    -0.01279881646,        0.04354907476,        -0.05634789121
          70,      -6.861983546,      -5.823073199,      -5.459117871,      -4.887254316,      -6.612043509,       -2.53388745,    -0.01309347211,        0.04354964645,        -0.05664311855
          71,      -6.862352301,      -5.826410788,      -5.459578352,      -4.853759612,      -6.634822102,      -2.528940906,    -0.01329836038,        0.04356622937,        -0.05686458974
          72,      -6.862732281,      -5.829314931,      -5.460058693,       -4.89419344,       -6.65821704,      -2.526058102,    -0.01343422219,        0.04359629879,        -0.05703052098
          73,      -6.862275292,      -5.831079105,      -5.459352018,      -5.001306084,       -6.68193489,      -2.527144403,    -0.01351779929,        0.04363412761,         -0.0571519269
          74,      -6.862602891,      -5.833499542,      -5.459651952,      -5.080475066,       -6.70541633,       -2.53105556,    -0.01356277234,         0.0436726204,        -0.05723539274
          75,      -6.863106293,      -5.835852999,      -5.459893319,      -5.091083288,       -6.72834426,      -2.538438777,    -0.01358106483,        0.04370531507,         -0.0572863799
          76,      -6.864892669,      -5.839205428,      -5.461697543,      -5.095291383,      -6.750409729,      -2.548149317,    -0.01358273216,        0.04372800901,        -0.05731074117
          77,      -6.867240189,      -5.842674961,        -5.4638322,      -5.100532729,      -6.771645233,      -2.560137787,    -0.01357480342,        0.04373916625,        -0.05731396967
          78,      -6.870790784,      -5.846908525,       -5.46744817,      -5.111122422,      -6.791972376,       -2.57305202,    -0.01356038124,        0.04373984862,        -0.05730022986
          79,       -6.87497316,      -5.851343928,      -5.471732018,      -5.033841842,      -6.811242847,      -2.586119208,    -0.01353950396,        0.04373286072,        -0.05727236467
          80,      -6.879406149,      -5.855712684,      -5.476156394,      -4.994420791,      -6.829313597,      -2.599715142,    -0.01351115332,        0.04372162711,        -0.05723278043
          81,      -6.883913475,      -5.860083125,      -5.480840652,      -5.014328278,      -6.845667651,      -2.612668811,    -0.01347500456,         0.0437090081,        -0.05718401266
          82,      -6.887350355,      -5.863488648,       -5.48434552,      -5.103418057,      -6.860070163,      -2.625784665,    -0.01343281045,        0.04369617518,        -0.05712898563
          83,      -6.890851739,      -5.867391704,      -5.488127633,      -5.155038983,      -6.872119752,      -2.638366349,    -0.01338830361,        0.04368221547,        -0.05707051908
          84,      -6.893442474,      -5.870798332,      -5.490949382,      -5.153421039,       -6.88194371,      -2.651167543,    -0.01334668688,         0.0436645208,        -0.05701120768
          85,      -6.896424674,        -5.8749623,      -5.494492376,      -5.156586412,       -6.88965884,       -2.66304097,    -0.01331312479,        0.04364011532,        -0.05695324011
          86,      -6.899116689,      -5.878897233,      -5.497755831,      -5.158953916,      -6.895794776,      -2.674533649,    -0.01329105967,        0.04360755071,        -0.05689861038
          87,      -6.902537065,      -5.883377518,      -5.502036341,      -5.165783909,      -6.900750113,      -2.684813769,    -0.01328071542,        0.04356829334,        -0.05684900876
          88,       -6.90657562,      -5.888004095,      -5.506976198,      -5.130222223,      -6.904817565,      -2.693308965,    -0.01327864988,         0.0435270656,        -0.05680571549
          89,      -6.911265538,      -5.892522947,      -5.512659771,      -5.094949557,      -6.908184964,      -2.700021861,    -0.01327854081,        0.04349093855,        -0.05676947936
          90,      -6.917342098,      -5.897510357,      -5.519758832,      -5.117512651,      -6.910545091,      -2.703286516,    -0.01327368073,        0.04346678276,        -0.05674046349
          91,      -6.923844469,      -5.901833452,      -5.527060246,      -5.182626852,      -6.911870919,      -2.705331939,    -0.01325870667,        0.04345973613,        -0.05671844281
          92,      -6.932323186,      -5.907260962,      -5.536494323,      -5.183140855,      -6.911643911,      -2.703913432,     -0.0132321386,        0.04347076582,        -0.05670290442
          93,      -6.941191643,      -5.912553485,      -5.546004973,      -5.205902898,      -6.910035216,      -2.701406606,    -0.01319604706,        0.04349721688,        -0.05669326394
          94,      -6.951451827,       -5.91934836,      -5.557202936,       -5.21478328,       -6.90702329,      -2.696658669,     -0.0131555869,        0.04353331796,        -0.05668890486
          95,      -6.961239361,      -5.926504145,      -5.567793767,      -5.209926215,      -6.903470053,      -2.691897939,    -0.01311678191,        0.04357249079,         -0.0566892727
          96,      -6.970961406,      -5.935050364,       -5.57863745,      -5.170784616,      -6.900240522,      -2.687294987,    -0.01308483884,        0.04360906214,        -0.05669390098
