"Eddy_Viscosity","Omega","Points:0","Points:1","Points:2","Pressure","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2"
5.981379e-05,8189.575,0.03628887,0.03628887,-0.104,22.66993,0.4210396,0.01748229,-0.01687869,4.734382
3.787374e-05,11382.04,0.03639147,0.03639147,-0.104,22.66996,0.3733283,0.01705074,-0.01662377,4.300387
2.053078e-05,16771.96,0.03648381,0.03648381,-0.104,22.66998,0.2951964,0.01614413,-0.01586959,3.744192
7.538767e-06,27106.68,0.03656691,0.03656691,-0.104,22.66999,0.1724481,0.01435372,-0.01420491,3.002009
1.023635e-06,54420.81,0.03664171,0.03664171,-0.104,22.67001,0.04701019,0.01106395,-0.0110078,2.034894
2.646858e-08,186958.4,0.03670902,0.03670902,-0.104,22.67004,0.004175968,0.006100515,-0.006098165,0.9809952
0.0005872413,343.7817,0.02407816,0.02573872,-0.104,22.71169,0.2002055,0.01788428,-0.009886782,9.40505
0.0005343924,321.7138,0.0224176,0.02573872,-0.104,22.72512,0.1643379,0.01823418,-0.01010821,9.536373
0.0004920616,299.5895,0.02075704,0.02573872,-0.104,22.73899,0.1322594,0.01860024,-0.01026249,9.647511
0.0004458469,276.174,0.01909647,0.02573872,-0.104,22.75356,0.1039091,0.01898935,-0.01037845,9.740586
0.0003760896,250.3478,0.01743591,0.02573872,-0.104,22.76861,0.07945558,0.01940591,-0.01045568,9.817437
0.0003189342,221.1932,0.01577535,0.02573872,-0.104,22.78405,0.05953443,0.01986722,-0.0104872,9.878667
0.0002786777,189.8278,0.01411478,0.02573872,-0.104,22.79966,0.04464381,0.02041393,-0.01046928,9.924018
0.0002566497,159.386,0.01245422,0.02573872,-0.104,22.81562,0.03452139,0.02108211,-0.01042015,9.954682
0.0002500149,132.9098,0.01079366,0.02573872,-0.104,22.83197,0.02804221,0.02186757,-0.01036414,9.974009
0.0002543144,111.9383,0.009133096,0.02573872,-0.104,22.84864,0.02402307,0.02274428,-0.01028517,9.985526
0.000264907,96.43757,0.007472533,0.02573872,-0.104,22.86551,0.02155803,0.02367388,-0.01017872,9.992043
0.0002777266,85.5243,0.00581197,0.02573872,-0.104,22.88253,0.02004332,0.02461977,-0.01004299,9.995473
0.000289694,78.22255,0.004151407,0.02573872,-0.104,22.89964,0.01912184,0.02555273,-0.009868026,9.996974
0.0002986859,73.77551,0.002490844,0.02573872,-0.104,22.9168,0.0185944,0.02645236,-0.009645362,9.997205
