"Eddy_Viscosity","Omega","Points:0","Points:1","Points:2","Pressure","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2"
1.1015e-06,54701,0.036642,0.036642,-0.104,23.258,0.050847,0.010163,-0.01011,2.0915
2.8693e-08,1.8709e+05,0.036709,0.036709,-0.104,23.258,0.0045302,0.0056557,-0.0056546,1.0092
0.0017715,279.44,0.024078,0.025739,-0.104,23.295,0.42386,0.020765,-0.0059191,9.0908
0.0017891,268.5,0.022418,0.025739,-0.104,23.308,0.41341,0.021794,-0.0056643,9.184
0.0017929,259.52,0.020757,0.025739,-0.104,23.322,0.40297,0.022765,-0.0053671,9.2704
0.0017842,252.08,0.019096,0.025739,-0.104,23.336,0.39259,0.02367,-0.0050281,9.3506
0.0017654,245.88,0.017436,0.025739,-0.104,23.351,0.38235,0.024503,-0.0046501,9.4249
0.0017389,240.66,0.015775,0.025739,-0.104,23.366,0.37232,0.025262,-0.0042367,9.4933
0.001707,236.24,0.014115,0.025739,-0.104,23.382,0.36262,0.025942,-0.0037911,9.556
0.0016721,232.48,0.012454,0.025739,-0.104,23.398,0.35338,0.026542,-0.0033159,9.6126
0.0016362,229.29,0.010794,0.025739,-0.104,23.415,0.34474,0.027059,-0.0028129,9.663
0.0016017,226.59,0.0091331,0.025739,-0.104,23.432,0.33689,0.027491,-0.0022845,9.7068
0.0015703,224.35,0.0074725,0.025739,-0.104,23.449,0.33,0.027838,-0.0017327,9.7437
0.0015435,222.55,0.005812,0.025739,-0.104,23.467,0.32425,0.028096,-0.0011592,9.7732
0.0015227,221.21,0.0041514,0.025739,-0.104,23.484,0.3198,0.028266,-0.0005668,9.7951
0.0015085,220.32,0.0024908,0.025739,-0.104,23.502,0.31679,0.028347,4.1889e-05,9.8091
0.0015015,219.9,0.00083028,0.025739,-0.104,23.52,0.31532,0.028337,0.00066419,9.8148
0.0015017,219.95,-0.00083028,0.025739,-0.104,23.538,0.31542,0.028237,0.0012969,9.8124
0.0015094,220.46,-0.0024908,0.025739,-0.104,23.556,0.31711,0.028047,0.0019367,9.8018
0.0015242,221.43,-0.0041514,0.025739,-0.104,23.573,0.32031,0.027765,0.0025792,9.783
0.0015457,222.84,-0.005812,0.025739,-0.104,23.591,0.32493,0.027394,0.0032179,9.7563
0.0015731,224.67,-0.0074725,0.025739,-0.104,23.608,0.33083,0.026935,0.003844,9.722
